signal_date,symbol,candidate_id,model_period,entry_date,entry_open,fifth_xtks_exit_date,fifth_xtks_exit_close,gross_return,one_hundred_shares_pl_yen,med_ret5,ret10,volr20,body_pct,rank_volr20,rank_body_pct,mean_rank,tail_cdf,tail_p
2023-01-04,3133,2023-01-04|3133|2023-01,2023-01,2023-01-05,279,2023-01-12,348,0.247311827957,6900,-0.00157315154693,0.323943661972,1.74665568403,0.851063829787,1,1,1,0.999138234586,0.8090759
2023-01-05,3133,2023-01-05|3133|2023-01,2023-01,2023-01-06,284,2023-01-13,300,0.056338028169,1600,-0.00940623162845,0.295454545455,1.4097944536,0.24,1,1,1,0.999342093071,0.817761
2023-01-06,3133,2023-01-06|3133|2023-01,2023-01,2023-01-10,326,2023-01-16,298,-0.0858895705521,-2800,-0.00328138038709,0.285123966942,1.36860071358,0.6,1,1,1,0.999754443188,0.83848786
2023-02-02,7037,2023-02-02|7037|2023-02,2023-02,2023-02-03,1080,2023-02-09,922,-0.146296296296,-15800,0,0.506024096386,1.53975084511,0.903703703704,1,1,1,0.999322005524,0.8218695
2023-02-07,4586,2023-02-07|4586|2023-02,2023-02,2023-02-08,191,2023-02-14,219,0.146596858639,2800,-0.00102406554019,0.300751879699,1.08978395436,0.615384615385,1,1,1,0.999012304344,0.8120213
2023-02-08,4586,2023-02-08|4586|2023-02,2023-02,2023-02-09,184,2023-02-15,214,0.163043478261,3000,0,0.191082802548,2.97274683849,-0.190476190476,1,1,1,0.999435004604,0.8265167
2023-02-15,4586,2023-02-15|4586|2023-02,2023-02,2023-02-16,198,2023-02-22,200,0.010101010101,200,0,0.455782312925,0.514144514829,-0.36,1,1,1,0.999761446388,0.8440245
2023-03-15,7138,2023-03-15|7138|2023-03,2023-03,2023-03-16,318,2023-03-23,326.200012207,0.0257862019089,820.001220703,-0.0303392489802,0.276150681932,7.68504839147,-0.381944505153,1,1,1,0.999061906512,0.8188134
2023-03-16,7776,2023-03-16|7776|2023-03,2023-03,2023-03-17,605,2023-03-24,977,0.614876033058,37200,-0.047569215985,0.432835820896,2.18482743519,0.206896551724,1,1,1,0.999467775531,0.8316152
2023-03-20,7042,2023-03-20|7042|2023-03,2023-03,2023-03-22,531,2023-03-28,452.5,-0.147834274953,-7850,-0.0293781310051,0.532786885246,12.1887658907,0.244845360825,1,1,1,0.999349077988,0.8280671
2023-04-05,7776,2023-04-05|7776|2023-04,2023-04,2023-04-06,572,2023-04-12,500,-0.125874125874,-7200,-0.0109126984127,-0.296296296296,1.71844786508,-0.279279279279,1,1,1,0.99942591523,0.8327351
2023-04-06,6775,2023-04-06|6775|2023-04,2023-04,2023-04-07,308,2023-04-13,305,-0.00974025974026,-300,-0.0109170305677,0.323651452282,3.33032917917,0.511904761905,0.5,0.5,0.5,0.999857348633,0.8540315
2023-04-07,6775,2023-04-07|6775|2023-04,2023-04,2023-04-10,329,2023-04-14,312,-0.0516717325228,-1700,-0.0149382472342,0.275303643725,1.62018726781,0.159090909091,0.333333333333,0.666666666667,0.5,0.999439832437,0.8335451
